event_name,wikipedia_url,scraped_at,date_raw,venue,venue_wiki_path,location,attendance,attendance_raw,gate_revenue,gate_raw,venue_capacity,sell_through,source,ppv_buys,event_date
UFC 302: Makhachev vs. Poirier,https://en.wikipedia.org/wiki/UFC_302%3A_Makhachev_vs._Poirier,2025-12-07T15:23:06.228513,"June 1, 2024(2024-06-01)",Prudential Center,/wiki/Prudential_Center,"Newark, New Jersey, United States",17834.0,"17,834[1]",7255040.0,"$7,255,040[1]",18711.0,0.9531291753513976,Wikipedia,,
UFC Fight Night: Lewis vs. Nascimento,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Lewis_vs._Nascimento,2025-12-07T15:23:13.125819,"May 11, 2024(2024-05-11)",Enterprise Center,/wiki/Enterprise_Center,"St. Louis, Missouri, United States",15960.0,"15,960[1]",2470197.0,"$2,470,197[1]",22000.0,0.7254545454545455,Wikipedia,,
UFC 300: Pereira vs. Hill,https://en.wikipedia.org/wiki/UFC_300%3A_Pereira_vs._Hill,2025-12-07T15:23:25.331935,"April 13, 2024(2024-04-13)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",20067.0,"20,067[1]",16508823.0,"$16,508,823[1]",20000.0,1.00335,Wikipedia,,
UFC Fight Night: Blanchfield vs. Fiorot,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Blanchfield_vs._Fiorot,2025-12-07T15:23:32.054158,"March 30, 2024(2024-03-30)",Boardwalk Hall,/wiki/Boardwalk_Hall,"Atlantic City, New Jersey, United States",12198.0,"12,198[1]",2180601.0,"$2,180,601[1]",10500.0,1.1617142857142857,Wikipedia,,
UFC Fight Night: Moreno vs. Royval 2,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Moreno_vs._Royval_2,2025-12-07T15:23:47.240150,"February 24, 2024(2024-02-24)",Arena CDMX,/wiki/Arena_CDMX,"Mexico City, Mexico",21546.0,"21,546[1]",1.0,Not announced[1],22300.0,0.9661883408071749,Wikipedia,,
UFC Fight Night: Dariush vs. Tsarukyan,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Dariush_vs._Tsarukyan,2025-12-07T15:24:12.910096,"December 2, 2023(2023-12-02)",Moody Center,/wiki/Moody_Center,"Austin, Texas, United States",14485.0,"14,485[1]",2450000.0,"$2,450,000[1]",16223.0,0.8928681501571842,Wikipedia,,
UFC Fight Night: Almeida vs. Lewis,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Almeida_vs._Lewis,2025-12-07T15:24:22.838352,"November 4, 2023(2023-11-04)",Ginásio do Ibirapuera,/wiki/Gin%C3%A1sio_do_Ibirapuera,"São Paulo, Brazil",10792.0,"10,792[1]",,,10200.0,1.0580392156862746,Wikipedia,,
UFC Fight Night: Grasso vs. Shevchenko 2,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Grasso_vs._Shevchenko_2,2025-12-07T15:24:37.623083,"September 16, 2023(2023-09-16)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",18766.0,"18,766[1]",2265537.16,"$2,265,537.16[1]",20000.0,0.9383,Wikipedia,,
UFC Fight Night: Gane vs. Spivac,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Gane_vs._Spivac,2025-12-07T15:24:45.548222,"September 2, 2023(2023-09-02)",Accor Arena,/wiki/Accor_Arena,"Paris, France",15610.0,"15,610[1]",4000000.0,"$4,000,000[1]",20300.0,0.7689655172413793,Wikipedia,,
UFC Fight Night: Holloway vs. The Korean Zombie,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Holloway_vs._The_Korean_Zombie,2025-12-07T15:24:49.586828,"August 26, 2023(2023-08-26)",Singapore Indoor Stadium,/wiki/Singapore_Indoor_Stadium,Singapore,10263.0,"10,263[1]",1288777.0,"$1,288,777[1]",15000.0,0.6842,Wikipedia,,
UFC Fight Night: Aspinall vs. Tybura,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Aspinall_vs._Tybura,2025-12-07T15:25:08.301427,"July 22, 2023(2023-07-22)",The O2Arena,/wiki/The_O2_Arena,"London, England",15078.0,"15,078[1]",2500000.0,"$2,500,000[1]",20000.0,0.7539,Wikipedia,,
UFC Fight Night: Holloway vs. Allen,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Holloway_vs._Allen,2025-12-07T15:25:52.101902,"April 15, 2023(2023-04-15)",T-Mobile Center,/wiki/T-Mobile_Center,"Kansas City,Missouri, United States",16234.0,"16,234[1]",2180096.0,"$2,180,096[1]",19252.0,0.8432370662788282,Wikipedia,,
UFC 286: Edwards vs. Usman 3,https://en.wikipedia.org/wiki/UFC_286%3A_Edwards_vs._Usman_3,2025-12-07T15:26:02.259273,"March 18, 2023(2023-03-18)",The O2Arena,/wiki/The_O2_Arena,"London,England, United Kingdom",17588.0,"17,588[1]",8580000.0,"$8,580,000[1]",20000.0,0.8794,Wikipedia,,
UFC Fight Night: Yan vs. Dvalishvili,https://en.wikipedia.org/wiki/UFC_Fight_Night%3A_Yan_vs._Dvalishvili,2025-12-07T15:26:06.532205,"March 11, 2023(2023-03-11)",The Theater at Virgin Hotels,/wiki/The_Theater_at_Virgin_Hotels,"Paradise, Nevada, United States",2361.0,"2,361[1]",452669.71,"$452,669.71[1]",4500.0,0.5246666666666666,Wikipedia,,
UFC 285: Jones vs. Gane,https://en.wikipedia.org/wiki/UFC_285%3A_Jones_vs._Gane,2025-12-07T15:26:10.815567,"March 4, 2023(2023-03-04)",T-Mobile Arena,/wiki/T-Mobile_Arena,"Paradise, Nevada, United States",19471.0,"19,471[1]",12154753.1,"$12,154,753.10.[1]",20000.0,0.97355,Wikipedia,,
UFC 284: Makhachev vs. Volkanovski,https://en.wikipedia.org/wiki/UFC_284%3A_Makhachev_vs._Volkanovski,2025-12-07T15:26:20.951997,"February 12, 2023(2023-02-12)",RAC Arena,/wiki/Perth_Arena,"Perth, Australia",14124.0,"14,124[1]",4086687.7,"$4,086,687.70[1]",15500.0,0.9112258064516129,Wikipedia,,
UFC 283: Teixeira vs. Hill,https://en.wikipedia.org/wiki/UFC_283%3A_Teixeira_vs._Hill,2025-12-07T15:26:27.973828,"January 21, 2023(2023-01-21)",Jeunesse Arena,/wiki/Jeunesse_Arena,"Rio de Janeiro, Brazil",13604.0,"13,604[1]",,,18768.0,0.724850809889173,Wikipedia,,
